HourUTC;HourDK;PriceArea;ConsumerType_DE35;TotalCon
2020-12-31 23:00;2021-01-01 00:00;DK2;121;201348
2021-01-01 00:00;2021-01-01 01:00;DK2;121;187365
2021-01-01 01:00;2021-01-01 02:00;DK2;121;168518
2021-01-01 02:00;2021-01-01 03:00;DK2;121;149801
2021-01-01 03:00;2021-01-01 04:00;DK2;121;136351
2021-01-01 04:00;2021-01-01 05:00;DK2;121;130009
2021-01-01 05:00;2021-01-01 06:00;DK2;121;129904
2021-01-01 06:00;2021-01-01 07:00;DK2;121;134745
2021-01-01 07:00;2021-01-01 08:00;DK2;121;150233
2021-01-01 08:00;2021-01-01 09:00;DK2;121;180036
2021-01-01 09:00;2021-01-01 10:00;DK2;121;209153
2021-01-01 10:00;2021-01-01 11:00;DK2;121;227574
2021-01-01 11:00;2021-01-01 12:00;DK2;121;235646
2021-01-01 12:00;2021-01-01 13:00;DK2;121;235151
2021-01-01 13:00;2021-01-01 14:00;DK2;121;235960
2021-01-01 14:00;2021-01-01 15:00;DK2;121;241081
2021-01-01 15:00;2021-01-01 16:00;DK2;121;263498
2021-01-01 16:00;2021-01-01 17:00;DK2;121;303329
2021-01-01 17:00;2021-01-01 18:00;DK2;121;301230
2021-01-01 18:00;2021-01-01 19:00;DK2;121;274171
2021-01-01 19:00;2021-01-01 20:00;DK2;121;244568
2021-01-01 20:00;2021-01-01 21:00;DK2;121;222950
2021-01-01 21:00;2021-01-01 22:00;DK2;121;201339
2021-01-01 22:00;2021-01-01 23:00;DK2;121;177276
2021-01-01 23:00;2021-01-02 00:00;DK2;121;154143
2021-01-02 00:00;2021-01-02 01:00;DK2;121;137951
2021-01-02 01:00;2021-01-02 02:00;DK2;121;128856
2021-01-02 02:00;2021-01-02 03:00;DK2;121;123898
2021-01-02 03:00;2021-01-02 04:00;DK2;121;122548
2021-01-02 04:00;2021-01-02 05:00;DK2;121;124301
2021-01-02 05:00;2021-01-02 06:00;DK2;121;130996
2021-01-02 06:00;2021-01-02 07:00;DK2;121;146705
2021-01-02 07:00;2021-01-02 08:00;DK2;121;176975
2021-01-02 08:00;2021-01-02 09:00;DK2;121;211522
2021-01-02 09:00;2021-01-02 10:00;DK2;121;231676
2021-01-02 10:00;2021-01-02 11:00;DK2;121;240601
2021-01-02 11:00;2021-01-02 12:00;DK2;121;242238
2021-01-02 12:00;2021-01-02 13:00;DK2;121;240202
2021-01-02 13:00;2021-01-02 14:00;DK2;121;241467
2021-01-02 14:00;2021-01-02 15:00;DK2;121;250921
2021-01-02 15:00;2021-01-02 16:00;DK2;121;285384
2021-01-02 16:00;2021-01-02 17:00;DK2;121;346448
2021-01-02 17:00;2021-01-02 18:00;DK2;121;344032
2021-01-02 18:00;2021-01-02 19:00;DK2;121;298465
2021-01-02 19:00;2021-01-02 20:00;DK2;121;263986
2021-01-02 20:00;2021-01-02 21:00;DK2;121;237942
2021-01-02 21:00;2021-01-02 22:00;DK2;121;215478
2021-01-02 22:00;2021-01-02 23:00;DK2;121;189758
2021-01-02 23:00;2021-01-03 00:00;DK2;121;164256
2021-01-03 00:00;2021-01-03 01:00;DK2;121;145161
2021-01-03 01:00;2021-01-03 02:00;DK2;121;134121
2021-01-03 02:00;2021-01-03 03:00;DK2;121;127806
2021-01-03 03:00;2021-01-03 04:00;DK2;121;125188
2021-01-03 04:00;2021-01-03 05:00;DK2;121;126213
2021-01-03 05:00;2021-01-03 06:00;DK2;121;131878
2021-01-03 06:00;2021-01-03 07:00;DK2;121;147175
2021-01-03 07:00;2021-01-03 08:00;DK2;121;180725
2021-01-03 08:00;2021-01-03 09:00;DK2;121;216032
2021-01-03 09:00;2021-01-03 10:00;DK2;121;232767
2021-01-03 10:00;2021-01-03 11:00;DK2;121;239837
