"Start time UTC","End time UTC","Start time UTC+01:00","End time UTC+01:00","Frequency - real time data"
"2020-12-31 23:01:00","2020-12-31 23:01:00","2021-01-01 00:01:00","2021-01-01 00:01:00","49.979"
"2020-12-31 23:04:00","2020-12-31 23:04:00","2021-01-01 00:04:00","2021-01-01 00:04:00","49.879"
"2020-12-31 23:07:00","2020-12-31 23:07:00","2021-01-01 00:07:00","2021-01-01 00:07:00","49.881"
"2020-12-31 23:10:00","2020-12-31 23:10:00","2021-01-01 00:10:00","2021-01-01 00:10:00","49.89"
"2020-12-31 23:13:00","2020-12-31 23:13:00","2021-01-01 00:13:00","2021-01-01 00:13:00","49.944"
"2020-12-31 23:16:00","2020-12-31 23:16:00","2021-01-01 00:16:00","2021-01-01 00:16:00","49.921"
"2020-12-31 23:19:00","2020-12-31 23:19:00","2021-01-01 00:19:00","2021-01-01 00:19:00","49.957"
"2020-12-31 23:22:00","2020-12-31 23:22:00","2021-01-01 00:22:00","2021-01-01 00:22:00","49.959"
"2020-12-31 23:25:00","2020-12-31 23:25:00","2021-01-01 00:25:00","2021-01-01 00:25:00","49.95"
"2020-12-31 23:28:00","2020-12-31 23:28:00","2021-01-01 00:28:00","2021-01-01 00:28:00","49.937"
"2020-12-31 23:31:00","2020-12-31 23:31:00","2021-01-01 00:31:00","2021-01-01 00:31:00","49.949"
"2020-12-31 23:34:00","2020-12-31 23:34:00","2021-01-01 00:34:00","2021-01-01 00:34:00","49.949"
"2020-12-31 23:37:00","2020-12-31 23:37:00","2021-01-01 00:37:00","2021-01-01 00:37:00","49.974"
"2020-12-31 23:40:00","2020-12-31 23:40:00","2021-01-01 00:40:00","2021-01-01 00:40:00","49.946"
"2020-12-31 23:43:00","2020-12-31 23:43:00","2021-01-01 00:43:00","2021-01-01 00:43:00","49.964"
"2020-12-31 23:46:00","2020-12-31 23:46:00","2021-01-01 00:46:00","2021-01-01 00:46:00","49.948"
"2020-12-31 23:49:00","2020-12-31 23:49:00","2021-01-01 00:49:00","2021-01-01 00:49:00","49.955"
"2020-12-31 23:52:00","2020-12-31 23:52:00","2021-01-01 00:52:00","2021-01-01 00:52:00","49.959"
"2020-12-31 23:55:00","2020-12-31 23:55:00","2021-01-01 00:55:00","2021-01-01 00:55:00","49.968"
"2020-12-31 23:58:00","2020-12-31 23:58:00","2021-01-01 00:58:00","2021-01-01 00:58:00","49.984"
"2021-01-01 00:01:00","2021-01-01 00:01:00","2021-01-01 01:01:00","2021-01-01 01:01:00","49.927"
"2021-01-01 00:04:00","2021-01-01 00:04:00","2021-01-01 01:04:00","2021-01-01 01:04:00","49.923"
"2021-01-01 00:07:00","2021-01-01 00:07:00","2021-01-01 01:07:00","2021-01-01 01:07:00","49.949"
"2021-01-01 00:10:00","2021-01-01 00:10:00","2021-01-01 01:10:00","2021-01-01 01:10:00","49.938"
"2021-01-01 00:13:00","2021-01-01 00:13:00","2021-01-01 01:13:00","2021-01-01 01:13:00","49.941"
"2021-01-01 00:16:00","2021-01-01 00:16:00","2021-01-01 01:16:00","2021-01-01 01:16:00","49.928"
"2021-01-01 00:19:00","2021-01-01 00:19:00","2021-01-01 01:19:00","2021-01-01 01:19:00","49.931"
"2021-01-01 00:22:00","2021-01-01 00:22:00","2021-01-01 01:22:00","2021-01-01 01:22:00","49.933"
"2021-01-01 00:25:00","2021-01-01 00:25:00","2021-01-01 01:25:00","2021-01-01 01:25:00","49.924"
"2021-01-01 00:28:00","2021-01-01 00:28:00","2021-01-01 01:28:00","2021-01-01 01:28:00","49.915"
"2021-01-01 00:31:00","2021-01-01 00:31:00","2021-01-01 01:31:00","2021-01-01 01:31:00","49.915"
"2021-01-01 00:34:00","2021-01-01 00:34:00","2021-01-01 01:34:00","2021-01-01 01:34:00","49.916"
"2021-01-01 00:37:00","2021-01-01 00:37:00","2021-01-01 01:37:00","2021-01-01 01:37:00","49.925"
"2021-01-01 00:40:00","2021-01-01 00:40:00","2021-01-01 01:40:00","2021-01-01 01:40:00","49.916"
"2021-01-01 00:43:00","2021-01-01 00:43:00","2021-01-01 01:43:00","2021-01-01 01:43:00","49.929"
"2021-01-01 00:46:00","2021-01-01 00:46:00","2021-01-01 01:46:00","2021-01-01 01:46:00","49.923"
"2021-01-01 00:49:00","2021-01-01 00:49:00","2021-01-01 01:49:00","2021-01-01 01:49:00","49.894"
"2021-01-01 00:52:00","2021-01-01 00:52:00","2021-01-01 01:52:00","2021-01-01 01:52:00","49.905"
"2021-01-01 00:55:00","2021-01-01 00:55:00","2021-01-01 01:55:00","2021-01-01 01:55:00","49.923"
"2021-01-01 00:58:00","2021-01-01 00:58:00","2021-01-01 01:58:00","2021-01-01 01:58:00","49.922"
"2021-01-01 01:01:00","2021-01-01 01:01:00","2021-01-01 02:01:00","2021-01-01 02:01:00","49.928"
"2021-01-01 01:04:00","2021-01-01 01:04:00","2021-01-01 02:04:00","2021-01-01 02:04:00","49.932"
"2021-01-01 01:07:00","2021-01-01 01:07:00","2021-01-01 02:07:00","2021-01-01 02:07:00","49.946"
"2021-01-01 01:10:00","2021-01-01 01:10:00","2021-01-01 02:10:00","2021-01-01 02:10:00","49.946"
"2021-01-01 01:13:00","2021-01-01 01:13:00","2021-01-01 02:13:00","2021-01-01 02:13:00","49.939"
"2021-01-01 01:16:00","2021-01-01 01:16:00","2021-01-01 02:16:00","2021-01-01 02:16:00","49.932"
"2021-01-01 01:19:00","2021-01-01 01:19:00","2021-01-01 02:19:00","2021-01-01 02:19:00","49.901"
"2021-01-01 01:22:00","2021-01-01 01:22:00","2021-01-01 02:22:00","2021-01-01 02:22:00","49.91"
"2021-01-01 01:25:00","2021-01-01 01:25:00","2021-01-01 02:25:00","2021-01-01 02:25:00","49.921"
"2021-01-01 01:28:00","2021-01-01 01:28:00","2021-01-01 02:28:00","2021-01-01 02:28:00","49.932"
"2021-01-01 01:31:00","2021-01-01 01:31:00","2021-01-01 02:31:00","2021-01-01 02:31:00","49.926"
"2021-01-01 01:34:00","2021-01-01 01:34:00","2021-01-01 02:34:00","2021-01-01 02:34:00","49.931"
"2021-01-01 01:37:00","2021-01-01 01:37:00","2021-01-01 02:37:00","2021-01-01 02:37:00","49.919"
"2021-01-01 01:40:00","2021-01-01 01:40:00","2021-01-01 02:40:00","2021-01-01 02:40:00","49.937"
"2021-01-01 01:43:00","2021-01-01 01:43:00","2021-01-01 02:43:00","2021-01-01 02:43:00","49.96"
"2021-01-01 01:46:00","2021-01-01 01:46:00","2021-01-01 02:46:00","2021-01-01 02:46:00","49.936"
"2021-01-01 01:49:00","2021-01-01 01:49:00","2021-01-01 02:49:00","2021-01-01 02:49:00","49.957"
"2021-01-01 01:52:00","2021-01-01 01:52:00","2021-01-01 02:52:00","2021-01-01 02:52:00","49.956"
"2021-01-01 01:55:00","2021-01-01 01:55:00","2021-01-01 02:55:00","2021-01-01 02:55:00","49.947"
"2021-01-01 01:58:00","2021-01-01 01:58:00","2021-01-01 02:58:00","2021-01-01 02:58:00","49.945"
"2021-01-01 02:01:00","2021-01-01 02:01:00","2021-01-01 03:01:00","2021-01-01 03:01:00","49.947"
"2021-01-01 02:04:00","2021-01-01 02:04:00","2021-01-01 03:04:00","2021-01-01 03:04:00","49.947"
"2021-01-01 02:07:00","2021-01-01 02:07:00","2021-01-01 03:07:00","2021-01-01 03:07:00","49.924"
"2021-01-01 02:10:00","2021-01-01 02:10:00","2021-01-01 03:10:00","2021-01-01 03:10:00","49.943"
"2021-01-01 02:13:00","2021-01-01 02:13:00","2021-01-01 03:13:00","2021-01-01 03:13:00","49.933"
"2021-01-01 02:16:00","2021-01-01 02:16:00","2021-01-01 03:16:00","2021-01-01 03:16:00","49.91"
"2021-01-01 02:19:00","2021-01-01 02:19:00","2021-01-01 03:19:00","2021-01-01 03:19:00","49.91"
"2021-01-01 02:22:00","2021-01-01 02:22:00","2021-01-01 03:22:00","2021-01-01 03:22:00","49.909"
"2021-01-01 02:25:00","2021-01-01 02:25:00","2021-01-01 03:25:00","2021-01-01 03:25:00","49.913"
"2021-01-01 02:28:00","2021-01-01 02:28:00","2021-01-01 03:28:00","2021-01-01 03:28:00","49.93"
"2021-01-01 02:31:00","2021-01-01 02:31:00","2021-01-01 03:31:00","2021-01-01 03:31:00","49.936"
"2021-01-01 02:34:00","2021-01-01 02:34:00","2021-01-01 03:34:00","2021-01-01 03:34:00","49.956"
"2021-01-01 02:37:00","2021-01-01 02:37:00","2021-01-01 03:37:00","2021-01-01 03:37:00","49.978"
"2021-01-01 02:40:00","2021-01-01 02:40:00","2021-01-01 03:40:00","2021-01-01 03:40:00","49.978"
"2021-01-01 02:43:00","2021-01-01 02:43:00","2021-01-01 03:43:00","2021-01-01 03:43:00","49.975"
"2021-01-01 02:46:00","2021-01-01 02:46:00","2021-01-01 03:46:00","2021-01-01 03:46:00","49.968"
"2021-01-01 02:49:00","2021-01-01 02:49:00","2021-01-01 03:49:00","2021-01-01 03:49:00","49.979"
"2021-01-01 02:52:00","2021-01-01 02:52:00","2021-01-01 03:52:00","2021-01-01 03:52:00","49.966"
"2021-01-01 02:55:00","2021-01-01 02:55:00","2021-01-01 03:55:00","2021-01-01 03:55:00","49.967"
"2021-01-01 02:58:00","2021-01-01 02:58:00","2021-01-01 03:58:00","2021-01-01 03:58:00","49.979"
"2021-01-01 03:01:00","2021-01-01 03:01:00","2021-01-01 04:01:00","2021-01-01 04:01:00","49.963"
"2021-01-01 03:04:00","2021-01-01 03:04:00","2021-01-01 04:04:00","2021-01-01 04:04:00","49.956"
"2021-01-01 03:07:00","2021-01-01 03:07:00","2021-01-01 04:07:00","2021-01-01 04:07:00","49.962"
"2021-01-01 03:10:00","2021-01-01 03:10:00","2021-01-01 04:10:00","2021-01-01 04:10:00","49.953"
"2021-01-01 03:13:00","2021-01-01 03:13:00","2021-01-01 04:13:00","2021-01-01 04:13:00","49.958"
"2021-01-01 03:16:00","2021-01-01 03:16:00","2021-01-01 04:16:00","2021-01-01 04:16:00","49.974"
"2021-01-01 03:19:00","2021-01-01 03:19:00","2021-01-01 04:19:00","2021-01-01 04:19:00","49.958"
"2021-01-01 03:22:00","2021-01-01 03:22:00","2021-01-01 04:22:00","2021-01-01 04:22:00","49.947"
"2021-01-01 03:25:00","2021-01-01 03:25:00","2021-01-01 04:25:00","2021-01-01 04:25:00","49.991"
"2021-01-01 03:28:00","2021-01-01 03:28:00","2021-01-01 04:28:00","2021-01-01 04:28:00","49.975"
"2021-01-01 03:31:00","2021-01-01 03:31:00","2021-01-01 04:31:00","2021-01-01 04:31:00","49.978"
"2021-01-01 03:34:00","2021-01-01 03:34:00","2021-01-01 04:34:00","2021-01-01 04:34:00","49.961"
