DateTime;Middeltemperatur;Maksimumtemperatur;Minimumtemperatur
01-12-2021 00:00;-3.2;-3;-3.5
01-12-2021 01:00;-3.4;-3.1;-4.1
01-12-2021 02:00;-3.1;-2.9;-3.6
01-12-2021 03:00;-2.8;-2.5;-3.5
01-12-2021 04:00;-2.3;-1.2;-2.8
01-12-2021 05:00;-0.3;0.6;-1.2
01-12-2021 06:00;0.9;1.2;0.6
01-12-2021 07:00;1.5;1.7;1.2
01-12-2021 08:00;1.1;1.5;0.7
01-12-2021 09:00;0.6;0.7;0.4
01-12-2021 10:00;0.7;0.9;0.6
01-12-2021 11:00;0.3;0.6;0.2
01-12-2021 12:00;0.7;1.1;0.3
01-12-2021 13:00;1.8;2.3;1.1
01-12-2021 14:00;2.7;3.1;2.2
01-12-2021 15:00;3.5;4.2;3.1
01-12-2021 16:00;4.6;6;3.7
01-12-2021 17:00;6.4;6.5;6
01-12-2021 18:00;6.4;6.6;5.9
01-12-2021 19:00;5.5;5.9;5
01-12-2021 20:00;3.9;5;3.1
01-12-2021 21:00;2.4;3.1;1.7
01-12-2021 22:00;1.2;1.7;0.9
01-12-2021 23:00;0.5;1;-0.1
02-12-2021 00:00;-0.2;0;-0.5
02-12-2021 01:00;-0.6;-0.4;-0.8
02-12-2021 02:00;-0.6;-0.6;-0.8
02-12-2021 03:00;-0.5;-0.4;-0.7
02-12-2021 04:00;-0.3;-0.3;-0.4
02-12-2021 05:00;-0.2;0;-0.4
02-12-2021 06:00;-0.6;-0.3;-0.8
02-12-2021 07:00;-0.6;-0.4;-0.8
02-12-2021 08:00;-0.4;-0.2;-0.5
02-12-2021 09:00;-0.3;0.1;-0.4
02-12-2021 10:00;0.3;0.5;0
02-12-2021 11:00;0.5;0.8;0.3
02-12-2021 12:00;0.9;1;0.6
02-12-2021 13:00;0.9;1.1;0.8
02-12-2021 14:00;0.9;1.2;0.7
02-12-2021 15:00;0.4;0.8;0
02-12-2021 16:00;-0.6;0.1;-1.1
02-12-2021 17:00;-0.6;-0.3;-1.1
02-12-2021 18:00;-0.8;-0.1;-1.4
02-12-2021 19:00;-2.6;-1.4;-2.9
02-12-2021 20:00;-3.1;-2.8;-3.4
02-12-2021 21:00;-3;-1.9;-4
02-12-2021 22:00;-1.6;-1.2;-2
02-12-2021 23:00;-1.6;-0.9;-2
03-12-2021 00:00;-1.1;-0.8;-1.2
03-12-2021 01:00;-1.4;-1.1;-1.6
03-12-2021 02:00;-1.7;-1.4;-2
03-12-2021 03:00;-1.8;-1.4;-2.2
03-12-2021 04:00;-2;-1.3;-2.5
03-12-2021 05:00;-2.4;-1.7;-3.1
03-12-2021 06:00;-2.9;-2.1;-3.4
03-12-2021 07:00;-2.2;-1.1;-3
