HourUTC;HourDK;FCR_N_PriceDKK;FCR_N_PriceEUR;FCR_D_UpPriceDKK;FCR_D_UpPriceEUR;FCR_D_DownPriceEUR
2020-12-31 23:00;2021-01-01 00:00;147,630005;19,840000;116,669998;15,680000;
2021-01-01 00:00;2021-01-01 01:00;146,589996;19,700001;117,570000;15,800000;
2021-01-01 01:00;2021-01-01 02:00;146,289993;19,660000;117,570000;15,800000;
2021-01-01 02:00;2021-01-01 03:00;145,839996;19,600000;117,419998;15,780000;
2021-01-01 03:00;2021-01-01 04:00;145,919998;19,610001;118,160004;15,880000;
2021-01-01 04:00;2021-01-01 05:00;145,839996;19,600000;119,349998;16,040001;
2021-01-01 05:00;2021-01-01 06:00;143,910004;19,340000;119,500000;16,059999;
2021-01-01 06:00;2021-01-01 07:00;140,190002;18,840000;118,610001;15,940000;
2021-01-01 07:00;2021-01-01 08:00;140,039993;18,820000;120,250000;16,160000;
2021-01-01 08:00;2021-01-01 09:00;142,869995;19,200001;119,730003;16,090000;
2021-01-01 09:00;2021-01-01 10:00;144,580002;19,430000;122,400002;16,450001;
2021-01-01 10:00;2021-01-01 11:00;143,020004;19,219999;123,519997;16,600000;
2021-01-01 11:00;2021-01-01 12:00;143,089996;19,230000;118,830002;15,970000;
2021-01-01 12:00;2021-01-01 13:00;138,699997;18,639999;144,210007;19,379999;
2021-01-01 13:00;2021-01-01 14:00;139,369995;18,730000;148,220001;19,920000;
2021-01-01 14:00;2021-01-01 15:00;150,380005;20,209999;156,929993;21,090000;
2021-01-01 15:00;2021-01-01 16:00;150,830002;20,270000;157,449997;21,160000;
2021-01-01 16:00;2021-01-01 17:00;151,949997;20,420000;194,949997;26,200001;
2021-01-01 17:00;2021-01-01 18:00;150,979996;20,290001;189,080002;25,410000;
2021-01-01 18:00;2021-01-01 19:00;145,919998;19,610001;188,410004;25,320000;
2021-01-01 19:00;2021-01-01 20:00;143,830002;19,330000;151,949997;20,420000;
2021-01-01 20:00;2021-01-01 21:00;150,160004;20,180000;149,559998;20,100000;
