DateTime;Middeltemperatur;Maksimumtemperatur;Minimumtemperatur
01-04-2021 00:00;10.4;10.7;9.9
01-04-2021 01:00;9.2;9.9;8
01-04-2021 02:00;8.7;9.1;8.4
01-04-2021 03:00;8.4;8.8;8.2
01-04-2021 04:00;7.8;8.2;7.5
01-04-2021 05:00;7.3;7.7;7
01-04-2021 06:00;6.6;7;6.4
01-04-2021 07:00;6.3;6.6;6.1
01-04-2021 08:00;6.1;6.3;5.8
01-04-2021 09:00;6;6.4;5.6
01-04-2021 10:00;5.5;5.7;5.2
01-04-2021 11:00;5.7;5.9;5.4
01-04-2021 12:00;5.9;6.2;5.7
01-04-2021 13:00;6.6;7.1;6.1
01-04-2021 14:00;7.1;7.4;6.8
01-04-2021 15:00;7.6;8.2;7.2
01-04-2021 16:00;8;8.5;7.3
01-04-2021 17:00;7.1;7.5;6.8
01-04-2021 18:00;6.5;7.5;5.5
01-04-2021 19:00;4.6;5.6;3.4
01-04-2021 20:00;3.2;3.6;2.3
01-04-2021 21:00;1.9;2.8;0.8
01-04-2021 22:00;1.2;1.5;0.8
01-04-2021 23:00;1.1;1.6;0.8
02-04-2021 00:00;0.8;1.6;-0.7
02-04-2021 01:00;0.2;1;-1.4
02-04-2021 02:00;0.5;1;-0.3
02-04-2021 03:00;0.5;1;0
02-04-2021 04:00;0.4;1;-0.4
02-04-2021 05:00;1.5;2.2;0.9
02-04-2021 06:00;2.8;3.3;2.2
02-04-2021 07:00;3.9;4.5;3.3
02-04-2021 08:00;5;5.3;4.4
02-04-2021 09:00;5.1;5.6;4.8
02-04-2021 10:00;6.8;8.1;5.2
02-04-2021 11:00;7.9;9;7.4
02-04-2021 12:00;7.9;8.6;7.5
02-04-2021 13:00;7.6;8;7.1
02-04-2021 14:00;8.2;8.8;7.6
02-04-2021 15:00;8.6;9.1;8.2
02-04-2021 16:00;8.2;8.5;7.9
02-04-2021 17:00;7.9;8.3;7.6
02-04-2021 18:00;6.7;7.6;6
02-04-2021 19:00;6.1;6.3;5.8
02-04-2021 20:00;5.7;6.1;5.4
02-04-2021 21:00;5.5;5.6;5.2
02-04-2021 22:00;5.1;5.3;4.9
02-04-2021 23:00;4.7;5;4.2
03-04-2021 00:00;4;4.4;3.7
03-04-2021 01:00;3.8;4.4;3.3
03-04-2021 02:00;3.6;3.9;3.3
03-04-2021 03:00;3.1;3.5;2.7
03-04-2021 04:00;2.5;2.9;2.2
03-04-2021 05:00;2.1;2.5;1.8
03-04-2021 06:00;2.1;2.7;1.8
03-04-2021 07:00;3.4;3.9;2.6
03-04-2021 08:00;4.5;5.2;3.7
03-04-2021 09:00;5.1;5.5;4.7
03-04-2021 10:00;5.6;6;5.1
03-04-2021 11:00;6;6.8;5.3
03-04-2021 12:00;6.1;6.9;5.5
03-04-2021 13:00;6.1;6.5;5.7
03-04-2021 14:00;6.5;7.3;6.1
03-04-2021 15:00;6.5;7.1;6.1
03-04-2021 16:00;6.4;6.7;6.1
03-04-2021 17:00;6;6.5;5.4
03-04-2021 18:00;4.9;5.5;4
03-04-2021 19:00;3.5;4.2;2.6
03-04-2021 20:00;1.7;2.9;-0.3
03-04-2021 21:00;1.1;2.2;-0.4
03-04-2021 22:00;0.3;1.6;-1.4
03-04-2021 23:00;-1.9;-1.3;-2.3
04-04-2021 00:00;-0.9;-0.2;-2.1
04-04-2021 01:00;-0.3;0;-0.6
04-04-2021 02:00;-1;-0.2;-1.9
04-04-2021 03:00;-0.5;0.8;-1.6
04-04-2021 04:00;0.7;1;0.2
04-04-2021 05:00;0.3;0.5;0
04-04-2021 06:00;1.4;2.1;0.4
04-04-2021 07:00;2.8;3.3;2.1
04-04-2021 08:00;4;4.7;3.3
04-04-2021 09:00;5.3;5.8;4.7
04-04-2021 10:00;6.1;6.4;5.7
04-04-2021 11:00;5.9;6.1;5.7
04-04-2021 12:00;6.6;7.5;5.8
04-04-2021 13:00;8.1;8.7;7.4
04-04-2021 14:00;8.3;8.7;7.6
04-04-2021 15:00;7.7;8;7.1
04-04-2021 16:00;6.9;7.2;6.6
04-04-2021 17:00;6.6;6.8;6.4
04-04-2021 18:00;6.2;6.5;6
04-04-2021 19:00;6.1;6.3;5.9
04-04-2021 20:00;5.9;6;5.8
04-04-2021 21:00;5.7;5.8;5.5
04-04-2021 22:00;5.5;5.6;5.4
04-04-2021 23:00;5.7;5.9;5.5
05-04-2021 00:00;6;6.2;5.8
05-04-2021 01:00;5.6;6.1;5.4
05-04-2021 02:00;3.9;5.4;1.8
05-04-2021 03:00;2.5;3.1;2.1
05-04-2021 04:00;3.5;3.7;3.1
05-04-2021 05:00;2.8;3.3;2.2
05-04-2021 06:00;1.3;2.2;1
05-04-2021 07:00;1.5;1.7;1.3
05-04-2021 08:00;1.8;2.3;1.4
05-04-2021 09:00;1.7;2.4;1.3
05-04-2021 10:00;2.2;3.3;1.5
05-04-2021 11:00;2.5;3.2;2
05-04-2021 12:00;-0.2;2.2;-1.5
05-04-2021 13:00;-0.3;1.8;-1.2
05-04-2021 14:00;2.5;3.3;1.7
05-04-2021 15:00;2.9;3.4;2.5
05-04-2021 16:00;2.7;4.1;1.2
05-04-2021 17:00;3.9;4.2;3.7
05-04-2021 18:00;4.3;4.8;3.7
05-04-2021 19:00;4.3;4.7;3.9
05-04-2021 20:00;3.8;4.1;3.5
05-04-2021 21:00;3.2;3.6;2.8
05-04-2021 22:00;2.7;2.9;2.4
05-04-2021 23:00;2.5;2.7;2.3
06-04-2021 00:00;2.6;2.9;2.4
06-04-2021 01:00;2.5;2.8;2.3
06-04-2021 02:00;2.3;2.5;2.1
06-04-2021 03:00;2.1;2.4;2
06-04-2021 04:00;2;2.1;1.8
06-04-2021 05:00;2;2.1;1.8
06-04-2021 06:00;2.2;2.4;1.9
06-04-2021 07:00;2.6;3.1;2.3
06-04-2021 08:00;3;3.5;2.8
06-04-2021 09:00;3.8;4.9;3.4
06-04-2021 10:00;4.7;5.8;3.7
06-04-2021 11:00;4.5;5.5;3.7
06-04-2021 12:00;5.6;6.9;4.6
06-04-2021 13:00;6.2;7.2;5.2
06-04-2021 14:00;6.7;8;5.7
06-04-2021 15:00;6.1;7.4;5.5
06-04-2021 16:00;6.6;7.5;5.7
06-04-2021 17:00;5.4;6.1;4.9
06-04-2021 18:00;4.1;4.9;3.2
06-04-2021 19:00;2.5;3.4;2
06-04-2021 20:00;1.7;2;1.5
06-04-2021 21:00;1.7;2;1.3
06-04-2021 22:00;2;2.3;1.7
06-04-2021 23:00;2;2.2;1.7
07-04-2021 00:00;1.8;2.2;1.3
07-04-2021 01:00;2;2.3;1.4
07-04-2021 02:00;2.1;2.4;1.7
07-04-2021 03:00;1.8;2.1;1.4
07-04-2021 04:00;1.1;1.5;0.8
07-04-2021 05:00;1.6;2;1.3
07-04-2021 06:00;2.7;3.7;2
07-04-2021 07:00;3.6;4.5;3.1
07-04-2021 08:00;4.5;5.2;3.9
07-04-2021 09:00;5.1;5.9;4.6
07-04-2021 10:00;5.6;6.4;4.8
07-04-2021 11:00;5.8;6.6;5.3
07-04-2021 12:00;6.4;7.3;6
07-04-2021 13:00;7.9;8.4;7
07-04-2021 14:00;8;8.3;7.6
07-04-2021 15:00;8.2;8.7;7.8
07-04-2021 16:00;7.4;8.2;6
07-04-2021 17:00;5.1;6;4.5
07-04-2021 18:00;4.3;4.5;3.9
07-04-2021 19:00;3.6;4;3.4
07-04-2021 20:00;3.3;3.6;3.1
07-04-2021 21:00;2.9;3.2;2.7
07-04-2021 22:00;2.7;2.8;2.5
07-04-2021 23:00;2.3;2.6;1.7
08-04-2021 00:00;1.6;2;1.2
08-04-2021 01:00;1.1;1.7;0.2
08-04-2021 02:00;1.3;1.9;0.6
08-04-2021 03:00;2.3;2.6;1.8
08-04-2021 04:00;1.8;2.3;1.1
08-04-2021 05:00;1.5;2.2;1.1
08-04-2021 06:00;2.5;3.2;2.1
08-04-2021 07:00;3.9;4.5;3.2
08-04-2021 08:00;4.5;4.9;4.1
08-04-2021 09:00;4.8;5.4;4.2
08-04-2021 10:00;5.1;5.8;4.5
08-04-2021 11:00;5.5;6.4;4.7
08-04-2021 12:00;5.4;6.3;4.8
08-04-2021 13:00;5.1;5.6;4.8
08-04-2021 14:00;5.4;5.7;5
08-04-2021 15:00;5.4;5.6;5.2
08-04-2021 16:00;5.2;5.4;5
08-04-2021 17:00;5;5.1;4.9
08-04-2021 18:00;4.8;4.9;4.7
08-04-2021 19:00;4.4;4.8;4
08-04-2021 20:00;3.6;4.1;3.1
08-04-2021 21:00;3.1;3.3;2.9
08-04-2021 22:00;3.4;3.6;3.2
08-04-2021 23:00;3.8;4;3.6
09-04-2021 00:00;3.8;4.1;3.6
09-04-2021 01:00;4.3;4.6;4
09-04-2021 02:00;4.8;4.9;4.5
09-04-2021 03:00;4.8;4.9;4.7
09-04-2021 04:00;4.7;4.9;4.6
09-04-2021 05:00;4.8;5;4.7
09-04-2021 06:00;5;5.3;4.9
09-04-2021 07:00;5.6;5.8;5.3
09-04-2021 08:00;5.5;5.6;5.3
09-04-2021 09:00;5.6;6.1;5.3
09-04-2021 10:00;6.9;7.8;5.9
09-04-2021 11:00;7.6;8.4;7.2
09-04-2021 12:00;8.1;9.2;7.5
09-04-2021 13:00;8.8;10;8
09-04-2021 14:00;8.3;9.7;7.7
09-04-2021 15:00;8.1;8.7;7.6
09-04-2021 16:00;8.1;8.6;7.7
09-04-2021 17:00;7.2;7.8;6.8
09-04-2021 18:00;6.3;6.9;5.6
09-04-2021 19:00;5;5.7;4.3
09-04-2021 20:00;4.1;4.5;3.7
09-04-2021 21:00;3.2;4;2.7
09-04-2021 22:00;2.8;3.2;2.4
09-04-2021 23:00;2.6;3.1;2.2
10-04-2021 00:00;2;2.6;1.4
10-04-2021 01:00;1.4;1.8;1
10-04-2021 02:00;0.8;1.2;0.1
10-04-2021 03:00;-0.2;0.1;-0.6
10-04-2021 04:00;-0.3;-0.1;-0.6
10-04-2021 05:00;-0.7;0;-1
10-04-2021 06:00;0.9;1.6;-0.1
10-04-2021 07:00;2.7;3.7;1.5
10-04-2021 08:00;4.3;5.1;3.3
10-04-2021 09:00;4.7;5.4;3.9
10-04-2021 10:00;5.4;6.6;4.6
10-04-2021 11:00;5.6;6.7;4.9
10-04-2021 12:00;7.2;8.3;5.6
10-04-2021 13:00;7.5;8;7.1
10-04-2021 14:00;7.6;8.1;7.2
10-04-2021 15:00;7.9;8.5;7.5
10-04-2021 16:00;7.7;8.2;7.4
10-04-2021 17:00;7.3;7.6;6.8
10-04-2021 18:00;6.3;6.9;5.7
10-04-2021 19:00;4.4;5.7;2.4
10-04-2021 20:00;2.2;3.4;1.1
10-04-2021 21:00;1.5;2;0.5
